sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge,reason
9758,00-0039163,C.J. Stroud,sleeper_id_to_canonical,QB,HOU,HOU,False,203.1,adp_ppr,247.82,247.82,14.57764705882353,208.82413634026517,226.6232481203104,247.03837785327465,268.3356860855922,287.73470829272696,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},23.0,24.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
9221,00-0039139,Jahmyr Gibbs,sleeper_id_to_canonical,RB,DET,DET,False,1.1,adp_ppr,331.40000000000003,331.40000000000003,19.494117647058825,299.111564321507,314.65774671577543,331.52495519065195,347.9869789886107,362.77017693119336,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},1.0,1.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
9509,00-0038542,Bijan Robinson,sleeper_id_to_canonical,RB,ATL,ATL,False,2.9,adp_ppr,324.9,324.9,19.11176470588235,293.3024503631162,308.0787839965463,324.82084754353394,341.4601071700409,356.1812383510767,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},2.0,2.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
4034,00-0033280,Christian McCaffrey,sleeper_id_to_canonical,RB,SF,SF,False,5.4,adp_ppr,291.0,291.0,17.11764705882353,259.46160593676416,274.2158929905291,290.6369531511999,307.1437747929502,322.9074070448721,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},3.0,3.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
6813,00-0036223,Jonathan Taylor,sleeper_id_to_canonical,RB,IND,IND,False,7.3,adp_ppr,272.3,272.3,16.01764705882353,240.81466750314385,255.654947591748,272.26665349935024,288.6241506433386,303.9883865211757,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},4.0,4.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8138,00-0037248,James Cook,sleeper_id_to_canonical,RB,BUF,BUF,False,10.4,adp_ppr,260.8,260.8,15.341176470588236,229.40100219776505,243.964735982055,260.4898608800838,277.3129268691674,292.1369214524959,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},5.0,5.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
9226,00-0039040,De'Von Achane,sleeper_id_to_canonical,RB,MIA,MIA,False,11.8,adp_ppr,257.4,257.4,15.141176470588237,225.5071695214945,241.07355699671015,257.53735450234365,273.8101786979932,288.1984057702611,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},6.0,6.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
4866,00-0034844,Saquon Barkley,sleeper_id_to_canonical,RB,PHI,PHI,False,13.7,adp_ppr,246.7,246.7,14.511764705882351,216.17493574936785,230.2423895360963,246.36161156695115,262.8885307406973,277.8231078423379,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},9.0,7.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12527,00-0040122,Ashton Jeanty,sleeper_id_to_canonical,RB,LV,LV,False,14.5,adp_ppr,233.9,233.9,13.758823529411766,203.2824649984641,217.2183266513096,233.32479225175268,250.22625345716995,265.1052305860841,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},12.0,8.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12507,00-0040666,Omarion Hampton,sleeper_id_to_canonical,RB,LAC,LAC,False,15.2,adp_ppr,242.9,242.9,14.288235294117648,211.7131572229665,226.45641947605364,242.83788756522247,258.9458217742134,273.8185720585326,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},11.0,9.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
