sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge
7065,00-0036129,Eli Wolf,unmatched,TE,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7066,00-0036345,K.J. Osborn,unmatched,WR,TEN,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7075,00-0036429,Charlie Woerner,sleeper_id_to_canonical,TE,ATL,ATL,False,641.5,adp_ppr,8.0,35.059577256687575,2.0623280739227985,16.530816141083385,24.503353993921955,34.07911468294778,44.574666423381565,54.63036011727278,91,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":1.2954294545464644,""receptions"":0.9279246504570249,""receiving_yards"":8.341857897487362,""receiving_tds"":0.0519548755106906,""fumbles_lost"":0.00595879841532563,""rushing_yards"":0.0,""rushing_tds"":0.0,""rushing_2pt_conversions"":0.00020298874177240332,""receiving_2pt_conversions"":0.0}",,,"{""opportunity_change_score_prior1"":-0.7198724707346352,""prev__receiving_yards"":-0.6413244856292728,""prev_fantasy_ppg"":-0.582143448710782,""target_share_prior4"":-0.4531054923321811,""receiving_competitor_count"":-0.2978166445108727,""prev__receptions"":-0.2159016042231405,""opportunity_xfp_realized_prior4"":-0.1264319026568551,""prev__receiving_tds"":-0.09518898983127774}",97.0,200.0,True,103.0
7076,,Jeff,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7078,00-0036111,Tony Brown,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7079,,Pete,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7080,00-0035947,Omar Bayless,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7081,00-0036301,James Morgan,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7082,00-0036225,Dalton Keene,unmatched,TE,,,False,257.0,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,44.0,False,
7083,00-0035993,Tyler Huntley,sleeper_id_to_canonical,QB,BAL,BAL,False,,adp_ppr,12.680000000000001,12.680000000000001,0.7458823529411766,-11.412531646989752,-1.7351689729267648,10.814480035351686,25.172308601232366,39.212762550675,63,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},55.0,,False,
7084,00-0036312,Jake Luton,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7085,00-0036308,Isaiah Coulter,unmatched,WR,,,False,559.0,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,284.0,False,
7086,00-0036398,John Hightower,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7087,00-0035924,Jonathan Ward,unmatched,RB,BAL,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7088,00-0036078,Xavier Jones,unmatched,RB,,,False,451.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,137.0,False,
7090,00-0036309,Darnell Mooney,sleeper_id_to_canonical,WR,NYG,ATL,True,249.2,adp_ppr,73.39999999999999,73.39999999999999,4.317647058823529,48.69208403789645,59.44671332972504,72.29863288200536,86.64802770641197,99.34193412486735,55,MARKET_FALLBACK,1.0,,"{""targets"":3.597909023283234,""receptions"":1.9204076379909143,""receiving_yards"":26.201398803747885,""receiving_tds"":0.1552863001751757,""fumbles_lost"":0.01504908187369831,""rushing_yards"":0.04316259734238342,""rushing_tds"":0.0009732833043292652,""rushing_2pt_conversions"":3.699407252413099e-06,""receiving_2pt_conversions"":0.015090222657477528}",,,"{""prev_fantasy_ppg"":-0.7507012640402972,""prev__receiving_yards"":-0.224636401750964,""prev__receptions"":-0.18644714952406533,""offense_snap_share_prior4"":-0.11613960045696449,""opportunity_change_score_prior1"":0.0901720678901426,""prev__receiving_tds"":-0.09013813884133508,""pfr_receiving_drop_pct_prior4"":-0.07942253232559877,""xfp_residual_prior4"":0.06737621987782741}",117.0,114.0,False,
7091,00-0036034,Aaron Parker,unmatched,WR,,,False,439.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,203.0,False,
7092,,Chris,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7093,00-0036000,Adrian Killins Jr.,unmatched,RB,DEN,,False,688.0,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,323.0,False,
7098,00-0036457,Ty'Son Williams,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7100,,Derrick,unmatched,WR,,,False,371.3,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,178.0,False,
7101,00-0035957,Rodney Smith,unmatched,RB,,,False,652.3,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,259.0,False,
7103,00-0035825,Tavien Feaster,unmatched,RB,ARI,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7106,00-0036145,Lawrence Cager,unmatched,TE,WAS,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7107,00-0036278,Jason Huntley,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7109,00-0036245,Malcolm Perry,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7131,00-0036250,Tyler Davis,unmatched,TE,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7135,00-0036247,Freddie Swain,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7143,00-0036384,Ben DiNucci,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7149,00-0036433,Tommy Stevens,unmatched,TE,NYG,,False,679.5,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,264.0,False,
7156,,J'Mar,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7157,,Josh,unmatched,QB,,,False,691.3,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,191.0,False,
7158,,Riley,unmatched,QB,,,False,651.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,115.0,False,
7159,00-0036052,Reid Sinnett,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7161,,Shane,unmatched,WR,,,False,691.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,597.0,False,
7162,,Ryan,unmatched,TE,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7172,,Mikey,unmatched,RB,,,False,689.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,326.0,False,
7173,,Jalen,unmatched,WR,,,False,675.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,528.0,False,
7174,,Juwan,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7175,00-0035789,Chris Rowland,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7176,,Caleb,unmatched,TE,,,False,691.2,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,281.0,False,
7190,,Bronson,unmatched,RB,,,False,669.5,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,288.0,False,
7191,,Jaylon,unmatched,WR,,,False,622.6,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,356.0,False,
7204,00-0036187,Reggie Gilliam,sleeper_id_to_canonical,RB,NE,BUF,False,,adp_ppr,,,,,,,,,12,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7210,00-0035864,Kendall Hinton,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7211,,Zimari,unmatched,WR,,,False,641.6,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,402.0,False,
7217,,Trevontae,unmatched,WR,,,False,548.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,278.0,False,
7218,,Cam,unmatched,TE,,,False,650.4,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,211.0,False,
7227,00-0036208,Artavis Pierce,unmatched,RB,,,False,586.0,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,188.0,False,
7228,,Ahmad,unmatched,WR,,,False,674.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,521.0,False,
7233,00-0035876,Andre Baccellia,sleeper_id_to_canonical,WR,,ARI,False,678.5,adp_ppr,,25.062505400276905,1.4742650235457002,4.243500361904747,12.982584498821367,23.61826525929,35.84010102735891,47.369991237186106,91,FIE_M9_VALIDATED_PRESEASON,1.0,,"{""targets"":1.156625446675683,""receptions"":0.6600914660421454,""receiving_yards"":6.972533535928896,""receiving_tds"":0.0204490719884904,""fumbles_lost"":0.008486501672359929,""rushing_yards"":0.0,""rushing_tds"":0.0,""rushing_2pt_conversions"":0.0,""receiving_2pt_conversions"":0.005599387662221264}",,,"{""prev_fantasy_ppg"":-2.4775411998662125,""prev__receiving_yards"":-1.5558338655126307,""prev__receptions"":-0.7241857136380773,""target_share_prior4"":-0.6347706617158261,""pfr_receiving_drop_pct_prior4"":0.23469188291269671,""prev__receiving_tds"":-0.13242522101038542,""red_zone_target_share_prior4"":-0.12898520890796827,""opportunity_xfp_realized_prior4"":-0.12669191249625153}",211.0,541.0,True,330.0
7234,00-0035883,Maurice Ffrench,unmatched,WR,,,False,673.2,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,517.0,False,
7235,,Aleva,unmatched,WR,,,False,512.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,247.0,False,
7236,,Devwah,unmatched,RB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7237,,Scotty,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7243,,Kevin,unmatched,QB,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7244,00-0036110,Ja'Marcus Bradley,unmatched,WR,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
7245,,Nate,unmatched,TE,,,False,639.8,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,196.0,False,
7262,,Jalen,unmatched,QB,IND,,False,646.7,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,112.0,False,
7272,,Dylan,unmatched,TE,,,False,,adp_ppr,,,,,,,,,10,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},,,False,
