test_season,model,decile,n,mean_prediction,mean_actual,bias
2022,M9,10,6,20.136714335497555,20.019521687462866,0.11719264803468832
2023,ENSEMBLE,1,6,4.235495836109851,8.670483660130719,-4.434987824020868
2023,ENSEMBLE,2,5,7.1797019992140605,3.664328571428572,3.5153734277854887
2023,ENSEMBLE,3,5,9.370957341558356,12.896066666666666,-3.5251093251083105
2023,ENSEMBLE,4,5,10.879387469976143,11.235,-0.3556125300238566
2023,ENSEMBLE,5,6,11.831165377410116,9.21297385620915,2.6181915212009663
2023,ENSEMBLE,6,5,12.804340048284683,11.129161904761904,1.6751781435227784
2023,ENSEMBLE,7,5,13.667075042478592,9.730623885918003,3.9364511565605884
2023,ENSEMBLE,8,5,15.320333047072486,17.423452111613877,-2.1031190645413904
2023,ENSEMBLE,9,5,16.52775940892267,15.390628431372551,1.1371309775501182
2023,ENSEMBLE,10,6,20.33522428357204,17.78376992207139,2.5514543615006495
2023,V972,1,6,3.7321405143737856,8.272150326797385,-4.5400098124236
2023,V972,2,5,6.765949539376007,5.4185,1.347449539376007
2023,V972,3,5,8.539674419788778,12.832561904761903,-4.292887484973125
2023,V972,4,5,10.015049959921873,6.704000000000001,3.3110499599218723
2023,V972,5,6,11.712303981963721,11.343473856209151,0.3688301257545703
2023,V972,6,5,12.732489972651251,11.383561904761905,1.3489280678893465
2023,V972,7,5,14.371066887054038,13.66329055258467,0.7077763344693686
2023,V972,8,5,15.752953683672866,12.44010407239819,3.3128496112746753
2023,V972,9,5,17.411365185910448,16.3890931372549,1.022272048655548
2023,V972,10,6,20.655971281323616,18.25006158873806,2.4059096925855563
2023,M9,1,6,4.546414913301374,8.527150326797386,-3.9807354134960127
2023,M9,2,5,7.266262919684836,5.565566666666667,1.7006962530181688
2023,M9,3,5,9.696067998285972,11.16682857142857,-1.4707605731425986
2023,M9,4,5,11.244928785312197,12.113701960784315,-0.8687731754721177
2023,M9,5,6,12.212569956859596,10.399653891859773,1.8129160649998237
2023,M9,6,5,12.924914156402625,9.818095238095237,3.106818918307388
2023,M9,7,5,13.632712194608871,11.773593137254903,1.8591190573539684
2023,M9,8,5,14.547489091871743,14.388831523378581,0.1586575684931617
2023,M9,9,5,16.312252787065106,15.390628431372551,0.9216243556925541
2023,M9,10,6,20.10343896170915,17.78376992207139,2.319669039637759
2024,ENSEMBLE,1,6,4.395455269843911,4.165136363636365,0.23031890620754591
2024,ENSEMBLE,2,5,6.267061550859767,9.795173109243695,-3.5281115583839284
2024,ENSEMBLE,3,6,9.134467084561045,8.410083333333333,0.7243837512277125
2024,ENSEMBLE,4,5,10.671946208232988,9.1446,1.5273462082329878
2024,ENSEMBLE,5,6,11.974680390116893,8.278777777777778,3.6959026123391148
2024,ENSEMBLE,6,5,13.3838133536557,6.730386554621847,6.653426799033853
2024,ENSEMBLE,7,5,14.431055252283295,16.942367647058823,-2.511312394775528
2024,ENSEMBLE,8,6,15.567420706961224,16.159675505050505,-0.5922547980892805
2024,ENSEMBLE,9,5,16.170639144864335,15.649427450980392,0.5212116938839433
2024,ENSEMBLE,10,6,18.33014393453703,18.370548669467784,-0.04040473493075325
2024,V972,1,6,4.594861859268351,4.847944444444445,-0.2530825851760943
2024,V972,2,5,6.699201591588265,5.734244588744589,0.9649570028436756
2024,V972,3,6,8.426122470694263,10.633382352941178,-2.2072598822469143
2024,V972,4,5,10.549541272738047,8.345933333333333,2.203607939404714
2024,V972,5,6,11.680210752801395,8.755,2.9252107528013944
2024,V972,6,5,13.4521257572729,5.909907142857143,7.542218614415757
2024,V972,7,5,14.712374232435632,16.796003055767763,-2.0836288233321305
2024,V972,8,6,15.450872706677771,16.011408199643494,-0.5605354929657231
2024,V972,9,5,16.20565558305238,17.306573172905527,-1.1009175898531467
2024,V972,10,6,19.033624474622254,18.610897875816992,0.4227265988052622
2024,M9,1,6,3.8562752856838998,6.785185383244207,-2.9289100975603075
2024,M9,2,5,6.334112544671832,4.3834,1.9507125446718323
2024,M9,3,6,9.372965925001123,11.216095238095237,-1.8431293130941135
2024,M9,4,5,10.774697069867049,8.0451,2.729597069867049
2024,M9,5,6,11.908316735992507,12.423385620915035,-0.5150688849225276
2024,M9,6,5,13.476807770785168,8.318518907563025,5.158288863222143
2024,M9,7,5,14.249238838980006,9.552721568627451,4.696517270352555
2024,M9,8,6,15.43053383940296,16.986591726084374,-1.5560578866814136
2024,M9,9,5,16.599769802486975,14.370971122994652,2.228798679492323
2024,M9,10,6,18.11265660649725,19.29899964985994,-1.1863430433626903
2025,ENSEMBLE,1,6,4.240242427399266,1.3369444444444445,2.903297982954821
2025,ENSEMBLE,2,5,6.264119611901897,10.69988888888889,-4.435769276986992
2025,ENSEMBLE,3,5,8.10328481142995,8.320395382395382,-0.21711057096543307
2025,ENSEMBLE,4,5,10.455926034740456,8.391129411764705,2.0647966229757504
2025,ENSEMBLE,5,6,11.46529566631459,10.554820680408916,0.9104749859056742
2025,ENSEMBLE,6,5,13.197591675584837,16.45012340012928,-3.2525317245444416
