position,family,feature,scope,test_season,n_test,base_mae,adjusted_mae,improvement
TE,opportunity,red_zone_target_share_prior4,next_season,2025,35,,,0.10215544622233251
TE,opportunity,opportunity_change_score_prior1,weekly,2025,598,3.857522085142935,3.935340966220362,-0.02017328206030056
TE,opportunity,opportunity_change_score_prior1,next_season,2024,78,,,0.008915703945771706
TE,opportunity,opportunity_change_score_prior1,next_season,2025,82,,,0.03302267962768256
TE,conversion,pfr_receiving_drop_pct_prior4,weekly,2025,924,3.868881020818261,3.9063293549174474,-0.009679370830397419
TE,conversion,pfr_receiving_drop_pct_prior4,next_season,2023,88,,,-0.0010537807932854758
TE,conversion,pfr_receiving_drop_pct_prior4,next_season,2024,84,,,0.014008669052322101
TE,conversion,pfr_receiving_drop_pct_prior4,next_season,2025,89,,,0.04499928457513589
TE,competition,receiving_competition_index_prior4,weekly,2025,1241,3.566719469722053,3.586147029658892,-0.005446898782413457
TE,competition,receiving_competition_index_prior4,next_season,2023,93,,,-0.008239473874388429
TE,competition,receiving_competition_index_prior4,next_season,2024,93,,,0.03086054927531578
TE,competition,receiving_competition_index_prior4,next_season,2025,100,,,0.04796077988293158
TE,competition,receiving_competitor_count,weekly,2025,1287,3.5764949211980483,3.584938583623691,-0.0023608763920218555
TE,competition,receiving_competitor_count,next_season,2023,95,,,0.014324734565444861
TE,competition,receiving_competitor_count,next_season,2024,95,,,0.023762309937269233
TE,competition,receiving_competitor_count,next_season,2025,106,,,0.030373614095132548
TE,regression,xfp_residual_prior4,weekly,2025,1024,3.6341111000359483,3.7039367197832944,-0.01921394746205074
TE,regression,xfp_residual_prior4,next_season,2024,88,,,0.020738557962877695
TE,regression,xfp_residual_prior4,next_season,2025,96,,,0.018859793310427374
TE,regression,opportunity_xfp_realized_prior4,weekly,2025,1024,3.6341111000359483,3.6887874468908732,-0.015045315167823047
TE,regression,opportunity_xfp_realized_prior4,next_season,2024,88,,,0.018160650488607214
TE,regression,opportunity_xfp_realized_prior4,next_season,2025,96,,,0.09442525637214931
